"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2","guid","lastupdated"
"Fuji","Delica","0","0","0","yyyy-MM-dd","","","","Mitsubishi ","Delica","2002","1","100","0","1","75.0","0.0","0","0","ac570152-6abb-4d6f-b85e-cc4dcea1f6a6","1781573930794"
"## Log"
"Data","Odo (km)","Fuel (litres)","Full","Price (optional)","l/100km (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc","Weather","guid","lastupdated"
"2026-07-11 08:47","152283.0","50.02","1","99.99","13.08","0.0","0.0",,"","0","1","106","1.999","0","0.0","42","0.0",,"37390164-5b7b-409d-8f5b-812f89731335","1783723655118"
"2026-06-16 11:37","152032.0","40.0","2","67.0","13.65","0.0","0.0",,"","0","1","106","1.675","0","0.0","41","55.35",,"8eec8de2-058a-4974-8330-2cad0e772bbb","1783723655121"
"2026-06-15 11:16","151595.0","37.719","1","63.18","13.28","0.0","0.0",,"","0","1","106","1.675","0","0.0","40","0.0",,"9d16f834-4e77-4723-a4eb-aaa9104386f3","1783723655122"
"2026-06-11 13:46","151311.0","50.84","1","88.44","13.78","0.0","0.0",,"","0","1","106","1.74","0","0.0","39","0.0",,"c9b82350-2c24-48be-9a95-3aa9bb50173b","1783723655122"
"2026-06-04 11:58","150942.0","48.19","1","84.28","12.99","0.0","0.0",,"","0","1","106","1.749","0","0.0","38","0.0",,"76f80918-6a63-4e63-9213-f2e37df81870","1783723655124"
"2026-05-30 17:13","150571.0","58.08","1","104.49","13.67","0.0","0.0",,"","0","1","106","1.799","0","0.0","37","0.0",,"52df8ce0-cda7-492a-a45c-301f91b1d386","1783723655125"
"2026-05-29 13:13","150357.0","20.0","2","38.0","16.59","0.0","0.0",,"","0","1","106","1.9","0","0.0","36","35.78",,"7680d045-77e2-4e71-8385-a2aa7e408ff1","1783723655125"
"2026-05-23 16:41","150000.0","50.1","1","89.63","12.13","0.0","0.0",,"","0","1","106","1.789","0","0.0","35","0.0",,"b73340db-21f8-4286-a057-842a3f497a40","1783723655126"
"2026-05-20 14:27","149587.0","37.49","1","66.17","13.78","0.0","0.0",,"","0","1","106","1.765","0","0.0","34","0.0",,"ce692ea8-8ef4-450e-b580-4032b92355bf","1783723655126"
"2026-05-18 09:34","149315.0","37.94","1","68.25","11.97","0.0","0.0",,"","0","1","106","1.799","0","0.0","33","0.0",,"b3115920-4127-4837-aed8-bea0fa85a4c9","1783723655127"
